경찰서명,년월일,신고수,유동인구수01_06시간대,유동인구수07_12시간대,유동인구수13_18시간대,유동인구수19_00시간대,연령대유동인구수_10대,연령대유동인구수_20대,연령대유동인구수_30대,연령대유동인구수_40대,연령대유동인구수_50대,연령대유동인구수_60대,연령대유동인구수_70대이상
서울강서경찰서,20190209,285,171705.84,590107.14,795885.23,426430.22,103030.57,277006.61,419683.14,409653.43,387500.31,284595.95,102727.01
서울강서경찰서,20190208,281,190225.36,714101.86,822959.56,491259.15,83199.14,296275.63,473250.41,491162.88,445536.89,316450.13,112738.87
서울강서경찰서,20190207,264,177405.39,666170.52,771573.42,444635.91,81683.54,278678.95,433958.1,446598.99,412627.42,296431.42,109891.07
서울강서경찰서,20190206,295,121334.46,431051.87,705495.87,358212.09,108285.05,238128.08,341349.47,327784.61,299899.91,218651.68,82082.57
서울강서경찰서,20190205,238,203302.08,763872.44,838484.01,472068.38,76902.52,291306.26,472381.72,508918.07,468203.06,336508.27,123586.67
서울강서경찰서,20190204,251,113374.22,430840.16,565170.22,296707.87,84259.04,197594.74,300295.23,284325.06,267971,198177.09,73560.54
서울강서경찰서,20190203,306,134496.03,431961.63,625409.87,313273.94,87100.76,215313.15,320634.08,303231.15,288639.78,212519.73,77783.67
서울강서경찰서,20190202,390,172679.11,558985.13,749160.4,388452.9,93704.2,256066.67,393466.98,378850.1,369363.33,277908.25,99991.58
서울강서경찰서,20190201,335,202080.62,767095.3,866139.36,493496.67,88048.72,301570.5,494789.33,517907.72,469400.55,336787.01,120375.01
서울강서경찰서,20190131,336,199820.36,753167.84,842313.16,486261.86,82616.35,295207.08,479592.63,503876.07,464285.3,333880.94,122190.29
서울강서경찰서,20190130,282,196448.13,753854.15,843180.66,479434.8,77420.07,285233.14,473789.86,512754.57,467556.94,333362.15,122881.78
서울강서경찰서,20190129,316,202019.69,753504.58,830743.55,469130.45,70797.07,284705.31,470424.66,507658.22,466155.44,334566.52,121171.07
서울강서경찰서,20190128,284,205218.28,803116.23,835237.68,454482.04,72726.47,295430.46,481839.52,512982.63,472677.68,337647.84,124825.68
서울강서경찰서,20190127,274,142633.57,484812.79,746625.96,361199.45,96019.47,250909.37,364023.28,345469.58,330912,252610.16,95421.49
서울강서경찰서,20190126,303,181563.21,640835.03,898121.47,452529.53,107106.46,291204.62,462788.61,452457.69,429498.41,317666.87,112404.64
서울강서경찰서,20190125,305,222433.78,834933.13,924201.35,530718.53,83950.06,318649.79,530465.68,560374.17,514607.33,369757.33,134563.69
서울강서경찰서,20190124,320,222235.19,840165.01,913052.63,527887.62,83549.07,311735.16,525227.08,561153.06,515943.15,371330.36,134489.46
서울강서경찰서,20190123,319,220722.79,836450.36,861841.06,482430.69,81089.98,297566.04,499142.93,540757.46,496825.27,356808.97,129335.32
서울강서경찰서,20190122,284,223025.37,844695.31,922768.73,509278.23,87284.11,313764.55,518547.71,559673.73,513881.09,370846.66,135856.74
서울강서경찰서,20190121,279,177124.1,660156.54,789583.57,438260.82,68379.56,267753.62,434856.11,461744,423211.56,300195.62,109067.35
서울강서경찰서,20190120,303,159828.02,528438.54,790134.49,397974.27,107285.3,265933.89,400491.53,372319.94,359581.55,270123.34,100736.44
서울강서경찰서,20190119,318,203668.95,660335.28,927775.96,487594.94,113219.05,305723.75,486099.56,472289.82,450819.19,331656.66,119639.24
서울강서경찰서,20190118,299,223900.68,843604.19,954955.96,567275.69,90194.95,329855.69,547352.17,576623.29,532786.66,376531.59,136472.58
서울강서경찰서,20190117,277,230083.76,856074.76,904551.62,521284.91,89276.48,314235.82,525070.78,563193.42,516005.48,370765.78,133526.13
서울강서경찰서,20190116,267,216120.96,823249.72,902826.69,508193.16,85339.17,307395.09,516073,551547.38,503881,357753.07,128478.74
서울강서경찰서,20190115,323,219677.49,810288.01,883295.58,507705.54,84323.68,305619.34,503244.8,542980.13,500570.77,357398.35,126913.13
서울강서경찰서,20190114,252,217682.22,800028.86,845025.33,379642.7,79234.79,286371.4,467946.82,497747.1,459882.72,329837.01,121444.28
서울강서경찰서,20190113,356,154533.8,506112.89,767883.71,383581.56,103497.05,256635.89,384392.96,359386.3,346354.1,262906.49,99034.73
서울강서경찰서,20190112,299,202837.54,670373.61,933965.18,474893.45,111552.01,307405.45,482639.96,471652.66,454384.91,333592.74,120935.1
서울강서경찰서,20190111,338,204692.63,745001.43,937205.76,550494.79,88205.46,311041.59,515614.58,543213.19,495720.52,355172.36,128504.55
서울강서경찰서,20190110,302,217702.95,786094.27,872471.27,506361.79,85757.73,297900.46,495755.54,533556.56,491219.45,350648.79,127880.64
서울강서경찰서,20190109,263,211493.26,792994.98,824461.54,495072.59,85521.01,293011.82,488127.46,521275.1,479379.26,338216.47,118576.7
서울강서경찰서,20190108,267,217257.61,802252.99,866552.82,452035.7,83765.52,294804.92,484004.25,520482.58,483269.25,346872.3,124982.14
서울강서경찰서,20190107,270,214685.99,783709.96,812145.01,462979.17,83073.1,294887.22,476989.88,503138.33,463705.42,330068.81,121741.49
서울강서경찰서,20190106,272,149239.36,483787.11,745632.8,369188.66,99708.71,247337.83,368294.34,346452.61,333126.53,255689.57,97332.97
서울강서경찰서,20190105,351,194983.59,623055.06,866540.35,455102.76,102747.45,289032.23,450791.76,442131.41,423418.78,319124.28,112526.72
서울강서경찰서,20190104,273,203558.41,751581.79,916951.05,540840.15,98628.16,319755.97,515919.88,536504.37,490519.75,336288.75,115386.07
서울강서경찰서,20190103,290,225210.38,794208.19,872738.8,496865.4,85833.08,301935.72,499199.31,535543.92,491728.62,349682.16,125179.2
서울강서경찰서,20190102,259,204381.98,773489.25,843590.48,470162.77,101117.06,320840.91,500290.79,506506.58,459382.56,300630.88,102946.68
서울강서경찰서,20190101,335,202187.52,454058.05,710494.92,389977.23,128396.58,275047.54,382382.31,345729.42,331442.73,219341.37,74469.91
