시간대구분,행정동코드,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자15세부터19세생활인구수,남자20세부터24세생활인구수,남자25세부터29세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,남자50세부터54세생활인구수,남자55세부터59세생활인구수,남자60세부터64세생활인구수,남자65세부터69세생활인구수,남자70세이상생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자15세부터19세생활인구수,여자20세부터24세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,여자45세부터49세생활인구수,여자50세부터54세생활인구수,여자55세부터59세생활인구수,여자60세부터64세생활인구수,여자65세부터69세생활인구수,여자70세이상생활인구수
0,11710566,15806.3306,520.8224,538.2509,1000.2337,561.1536,326.0034,332.699,357.9605,472.9752,581.2058,495.056,540.8508,480.8688,385.4638,860.7936,445.4654,446.1032,574.8716,520.4757,421.29,380.659,464.783,704.7919,742.9603,558.3979,666.1743,529.4763,459.2293,1437.3155
0,11170640,7792.5752,254.3082,88.9386,175.811,234.5108,172.1756,279.8266,361.6307,323.9957,315.4749,275.5563,306.6264,237.5255,244.1995,372.9065,138.8507,63.1139,150.1842,221.9961,184.8797,296.9742,516.0997,310.0069,331.894,277.7728,300.7018,326.5391,261.7261,768.3505
0,11710620,41952.3974,1636.1082,825.6379,1108.5918,1054.2335,1571.2812,1769.1221,2358.6111,2024.8122,2015.7901,1647.5332,1497.9956,1231.2304,834.8268,1302.8502,1444.3167,706.4606,905.0685,1150.6316,1638.5901,1736.6468,1964.203,1793.4178,1770.6749,1517.8408,1861.8977,1521.9278,943.2338,2118.8639
0,11215730,22389.8167,551.443,230.7958,674.4228,1334.5077,1688.4975,1164.5368,993.7327,734.6657,727.4042,678.2604,639.0187,542.0685,312.494,599.3885,428.6356,210.0086,576.0134,1838.5643,1760.1271,1215.9971,1002.11,749.8326,666.9892,550.5828,585.2533,543.9692,389.9901,1000.506
0,11545640,12907.015,225.5551,145.0356,199.6916,305.5958,543.366,574.8051,695.9667,535.8795,600.4583,472.4646,689.4719,493.2911,319.1211,561.4081,241.629,144.0584,219.3513,363.0343,654.3269,560.2077,569.4966,460.2145,505.5521,527.8723,598.9807,536.0289,385.8967,778.2546
0,11680660,26143.1819,1438.235,912.1231,906.8941,442.2793,450.4817,459.3637,930.9051,1151.0614,1450.0327,943.5412,804.469,621.0319,531.8341,1070.1882,1372.0447,885.4646,855.8724,569.9224,571.9233,697.6927,1260.7066,1452.2338,1533.3267,931.5351,837.017,820.9252,640.0462,1602.0295
0,11410520,15284.4654,507.5282,255.3178,433.9932,485.4951,417.9448,421.8319,591.8552,602.8292,670.1795,717.5285,642.688,446.329,311.5706,662.9881,476.605,250.4293,402.5816,508.5791,456.3973,472.7582,583.2948,614.3874,810.5225,658.5475,724.695,599.0704,363.1268,1195.3921
0,11620545,14500.2508,674.9206,265.2323,357.9388,384.0068,387.1657,466.0829,608.9135,673.361,624.3701,517.1164,505.3292,400.0988,259.403,681.7243,653.9637,248.1101,322.0978,391.3087,446.3638,501.2666,794.9097,637.1829,667.7509,471.9272,544.9823,466.4767,404.4588,1143.7883
0,11740685,59356.1468,1869.9328,904.2362,1163.9304,1601.3654,2116.8627,2172.9596,2516.309,2350.2547,2501.3479,2034.343,2221.6653,1792.029,1441.6059,3029.6616,1904.097,870.2452,1174.9183,1727.596,2553.9752,2278.1721,2657.2779,2176.8994,2522.8107,2360.9896,2632.3414,2318.1598,1870.8221,4591.3382
0,11710641,21302.4533,735.5243,381.9437,561.6596,562.0707,812.8248,843.9628,1157.441,1001.876,686.5691,619.2631,688.4475,615.9013,457.3141,875.6723,761.9058,381.4776,443.2316,675.0745,909.7681,1016.2382,1026.8097,920.0252,891.2476,726.0371,855.0072,846.8989,587.8169,1260.4445
0,11290685,18728.2907,960.7187,543.095,512.0568,476.1852,469.9685,372.6837,649.995,831.0924,875.2986,696.2662,643.5396,441.2773,312.2513,872.4425,861.319,478.0538,495.5467,567.7458,511.6288,549.7893,800.3085,945.3899,1035.3462,824.8691,717.9033,564.2673,467.7692,1251.4841
0,11620665,21473.4605,491.3761,227.9922,341.9267,1203.323,1782.6925,1392.7649,1255.7599,897.1884,880.8221,740.3435,707.3203,487.271,374.731,791.0001,319.4226,145.8111,388.4956,1298.5268,1427.0926,910.936,862.4674,648.5465,626.3364,598.4648,561.1713,509.1071,466.6612,1135.909
0,11620695,29324.9156,209.4685,69.3257,366.4181,1596.0514,3383.208,2750.0023,1886.5162,1168.3999,974.1329,876.181,627.5644,429.9752,309.6084,635.6969,235.2571,85.7139,406.6398,2419.0295,3441.5935,1839.6291,1136.0453,750.5963,672.8367,556.7534,506.3692,448.617,442.9962,1100.2889
0,11200540,20759.8701,520.255,283.1686,473.6707,833.3247,901.2799,695.1669,896.1048,784.62,888.2882,765.1404,701.1326,587.7878,470.8462,972.222,529.8389,294.5951,614.9146,1140.2218,935.389,861.2234,810.9039,670.533,760.4921,818.0548,869.4422,711.1872,551.1998,1418.8669
0,11740590,15280.2045,1047.0158,489.3669,455.9219,302.8817,297.7457,325.0078,532.4729,590.9098,735.6659,548.5156,453.6622,358.2322,287.8877,611.0648,1221.4628,534.0499,418.239,399.0807,377.0458,369.3411,685.62,792.5989,680.867,511.8271,531.449,475.1697,377.4736,869.631
0,11620685,23414.6971,397.3957,219.1821,357.8692,895.6579,1867.4134,1484.6575,1163.8599,793.1442,858.0924,740.3438,712.4731,563.3386,409.0386,918.0814,340.8281,183.8169,329.0276,1456.4931,2113.4287,1311.7092,969.1612,687.3031,701.9141,756.9326,708.2512,720.5091,510.8877,1243.887
0,11620615,16065.8953,268.6619,148.8656,218.7975,664.469,1284.4527,1035.3055,779.5791,590.368,490.9441,507.4584,453.316,335.4103,216.1793,551.9447,249.3098,143.2815,291.7745,1055.1538,1593.2813,1045.4305,666.8217,513.2191,483.7891,455.1602,488.663,382.2023,277.8335,874.2227
0,11260565,30690.1223,749.7335,379.7256,512.4011,838.768,1389.3767,1318.879,1370.7657,1161.7727,1135.1583,1115.4483,1332.3845,978.4343,638.8476,1273.1396,688.7243,340.6814,553.3676,1116.1105,1472.8252,1442.5524,1434.7537,1053.8544,1197.7639,1354.4739,1533.981,1202.9793,831.2459,2271.974
0,11620575,27493.4541,624.3526,269.7138,421.6407,1029.3142,2311.0504,1678.4619,1377.7232,911.3697,916.9833,827.4419,706.2731,526.6009,391.3795,976.7358,612.6658,257.4749,474.194,1545.3275,2452.9914,1718.423,1259.9885,943.8717,879.2601,740.7251,775.3053,653.2679,552.0845,1658.8326
0,11620630,23588.9489,1053.477,314.0612,373.1612,1308.0743,1395.0129,1230.1433,1066.5489,760.1909,786.2634,746.0686,702.5323,548.0128,501.1103,1058.7596,862.4523,271.5367,392.0302,1008.9414,1427.795,1105.7561,912.6401,816.8849,784.1429,771.4792,827.448,788.3073,556.3359,1219.7839
0,11620585,22933.7928,380.1536,172.8701,604.5847,1696.5135,2151.3303,1612.475,1103.9902,727.8145,722.7237,558.8155,453.7303,402.6524,274.3695,558.1331,426.1553,206.7568,572.6143,2031.2059,2354.7604,1297.5552,1000.3131,551.6928,609.543,439.2012,510.021,371.4928,305.5041,836.8194
0,11680670,37408.5694,1563.548,1315.3651,1456.3301,812.3286,800.951,919.3695,1387.2902,1431.5083,1903.9775,1429.3348,1136.0647,843.1286,643.7121,1401.9718,1353.8368,1170.2176,1417.6369,923.6013,839.7209,1367.0215,1787.3259,2010.954,2179.3895,1453.1509,1426.9518,1069.097,901.7596,2463.0243
0,11620595,41994.8359,606.9183,318.9573,773.8656,2436.8854,3832.3458,2692.8898,1953.5236,1353.431,1299.1965,1166.1444,1025.9342,783.0857,590.8898,1341.5425,516.614,301.5,758.6893,3301.1978,4253.2546,2619.5629,1764.4911,1110.8551,1196.6031,1109.5931,1090.7237,917.8172,808.6875,2069.6359
0,11620735,28440.0498,364.7153,184.7051,624.7334,2188.7708,2975.4794,1833.4447,1672.6763,1260.6437,1357.2074,1123.8447,967.3358,583.2598,457.6041,922.7591,440.3165,181.6307,438.0658,2113.8448,2067.059,1044.1481,903.8803,646.9612,645.3868,519.4039,645.1377,563.2755,467.7609,1245.9993
