"자치구","안심 주소","위도","경도","CCTV 수량","수정 일시"
"강서구","C141025_공항동 61-67(남부순환로5길 2(보조1)(3시)","37.5579","126.8092","1","2022-12-01"
"강서구","C141026_공항동 41-82(고정1) (3시 구립동부경로당)","37.5595","126.8123","1","2022-12-01"
"강서구","C141027_공항동 14-17","37.5631","126.8141","1","2022-12-01"
"강서구","C141028_공항동 34-39","37.5604","126.8122","1","2022-12-01"
"강서구","C141028_공항동 34-39(보조1) (9시 공항대로4가길 22-4)","37.5604","126.8122","1","2022-12-01"
"강서구","C141029_공항동 34-73(고정1) (11시 송정역)","37.5605","126.8126","1","2022-12-01"
"강서구","C141029_공항동 34-73(고정2) (5시 공항대로10가길연결)","37.5605","126.8126","1","2022-12-01"
"강서구","C141030_공항동 691(고정1) (6시 남부순환로)","37.5563","126.8122","1","2022-12-01"
"강서구","C141030_공항동 691(고정2) (12시 공항동 주민센타)","37.5563","126.8122","1","2022-12-01"
"강서구","C141030_공항동 691(고정3) (3시 장미공원)","37.5563","126.8122","1","2022-12-01"
"강서구","C141031_공항동 14-4 공항중학교(고정1)(12시 신방화역 7번출구)","37.5629","126.8163","1","2022-12-01"
"강서구","C141031_공항동 14-4 공항중학교(고정2)(6시 방화대로와 공행대로 교차 삼거리)","37.5629","126.8163","1","2022-12-01"
"강서구","C141032_공항동 679-2(고정1) (12시 방화대로5라길24방향)","37.5551","126.8146","1","2022-12-01"
"강서구","C141033_공항동 14-101(고정1) (12시 공항동 2-5 방향)","37.5631","126.8152","1","2022-12-01"
"강서구","C141033_공항동 14-101(고정2) (9시 공항동 14-70 방향)","37.5631","126.8152","1","2022-12-01"
"강서구","C141033_공항동 14-101(고정3) (3시 방화대로)","37.5631","126.8152","1","2022-12-01"
"강서구","C141034_공항동 36-44(고정1) (9시 공항대로8길 24-3 방향)","37.5599","126.8128","1","2022-12-01"
"강서구","C141034_공항동 36-44(고정2) (12시 공항동 34-71 방향)","37.5599","126.8128","1","2022-12-01"
"강서구","C141034_공항동 36-44(고정3) (7시 승리아파트)","37.5599","126.8128","1","2022-12-01"
"강서구","C141035_공항동 60-142(고정1) (6시 흰돌주택)","37.5581","126.8103","1","2022-12-01"
"강서구","C141035_공항동 60-142(고정2) (2시 송정로연결)","37.5581","126.8103","1","2022-12-01"
"강서구","C141036_공항동 40-8(고정1) (11시 공항동 41-82 방향)","37.5591","126.8134","1","2022-12-01"
"강서구","C141036_공항동 40-8(고정2) (6시 예지유치원)","37.5591","126.8134","1","2022-12-01"
"강서구","C141036_공항동 40-8(고정3) (5시 공항동 651-6호 방향)","37.5591","126.8134","1","2022-12-01"
"강서구","C141037_공항동 675-10(고정1) (12시 공항동 663 방향)","37.5558","126.8148","1","2022-12-01"
"강서구","C141037_공항동 675-10(고정2) (6시 송정중학교)","37.5558","126.8148","1","2022-12-01"
"강서구","C141038_공항동 12-3(고정1) (6시 공항대로연결)","37.5626","126.8163","1","2022-12-01"
"강서구","C141039_공항동 61-61(고정1) (6시 공항동 61-67 방향)","37.5584","126.8093","1","2022-12-01"
"강서구","C141040_공항동 23-3(고정1)(9시)","37.5618","126.8131","1","2022-12-01"
"강서구","C141040_공항동 23-3(고정2)(6시)","37.5619","126.8131","1","2022-12-01"
"강서구","C141041_공항동 22-85(고정1) (1시 스카이아파트)","37.5625","126.8130","1","2022-12-01"
"강서구","C141041_공항동 22-85(고정2) (10시 동서베스트빌)","37.5626","126.8130","1","2022-12-01"
"강서구","C141041_공항동 22-85(고정3) (7시 해봉빌딩)","37.5625","126.8131","1","2022-12-01"
"강서구","C141042_공항동 67-48(고정1) (12시 경동그린빌)","37.5591","126.8094","1","2022-12-01"
"강서구","C141042_공항동 67-48(고정2) (6시 행운빌라)","37.5591","126.8094","1","2022-12-01"
"강서구","C141043_공항동 672-11(고정1)(6시)","37.5549","126.8160","1","2022-12-01"
"강서구","C141043_공항동 672-11(고정2)(9시)","37.5549","126.8160","1","2022-12-01"
"강서구","C141043_공항동 672-11(고정3)(12시)","37.5549","126.8160","1","2022-12-01"
"강서구","C141043_공항동 672-11(고정4)(3시)","37.5549","126.8160","1","2022-12-01"
"강서구","C141044_공항동 18-41(고정1)","37.5632","126.8125","1","2022-12-01"
"강서구","C141044_공항동 18-41(고정2)","37.5632","126.8125","1","2022-12-01"
"강서구","C141044_공항동 18-41(고정3)","37.5634","126.8127","1","2022-12-01"
"강서구","C141045_공항동 12-65(고정1)","37.5618","126.8155","1","2022-12-01"
